Company,Industry,Status,RegistrationNo,GSTNo
MediNova Healthcare,Healthcare,Flagged,10041,27MDNVH3456P3Z9
FinEdge Capital,Finance,Verified,10042,27FNDGE7890Q4Z1
RetailNova Stores,Retail,Pending,10043,27RTNV2345R5Z2
EduCore Solutions,Education,Verified,10044,27EDCR1234F1Z5
AgroTrust Farms,Agriculture,Flagged,10045,32AGTR5678K2Z7
CloudEdge IT,IT Services,Verified,10046,29CLDED3456P3Z9
UrbanEdge Realty,Real Estate,Pending,10047,29URDED7890Q4Z1
PureHealth Clinics,Healthcare,Verified,10048,27PRHLT2345R5Z2
SafeFinance Ltd,Finance,Verified,10049,27SFNCE1234F1Z5
BrightEdu Academy,Education,Pending,10050,27BRTE2345R5Z2
FarmEdge Organics,Agriculture,Verified,10051,32FRMED5678K2Z7
TechNova Labs,IT Services,Flagged,10052,27TNOVA3456P3Z9
BuildEdge Constructions,Real Estate,Verified,10053,29BLDED7890Q4Z1
AeroWorks Pvt Ltd,Manufacturing,Pending,10054,33ARWKS3456P3Z9
EduSphere Academy,Education,Verified,10055,27EDSPH7890Q4Z1
AgriTrust Agro,Agriculture,Flagged,10056,32AGTST2345R5Z2
CloudWorks IT,IT Services,Verified,10057,29CLWKS5678K2Z7
UrbanNest Builders,Real Estate,Pending,10058,29URBNB3456P3Z9
MediTrust Clinics,Healthcare,Verified,10059,27MDTRS7890Q4Z1
FinNova Capital,Finance,Flagged,10060,27FNOVA2345R5Z2
RetailSphere Stores,Retail,Verified,10061,27RTSPH1234F1Z5
EduTrust Academy,Education,Pending,10062,27EDTRS5678K2Z7
AgroSphere Farms,Agriculture,Verified,10063,32AGSPH3456P3Z9
TechEdge Labs,IT Services,Verified,10064,27TCHED2345R5Z2
SafeNest Realty,Real Estate,Pending,10065,29SFNST5678K2Z7
MediSphere Healthcare,Healthcare,Flagged,10066,27MDSPH3456P3Z9
FinTrust Bank,Finance,Verified,10067,27FTRST7890Q4Z1
RetailEdge Pvt Ltd,Retail,Pending,10068,27RTEDG2345R5Z2
EduMax Academy,Education,Verified,10069,27EDMAX1234F1Z5
AgriEdge Agro,Agriculture,Flagged,10070,32AGEDG5678K2Z7
CloudMax IT,IT Services,Verified,10071,29CLMAX3456P3Z9
UrbanMax Realty,Real Estate,Pending,10072,29URMAX7890Q4Z1
PureEdge Clinics,Healthcare,Verified,10073,27PREDG2345R5Z2
SafeEdge Finance,Finance,Verified,10074,27SFEDG1234F1Z5
BrightMax Academy,Education,Pending,10075,27BRMAX2345R5Z2
FarmMax Organics,Agriculture,Verified,10076,32FRMAX5678K2Z7
TechMax Labs,IT Services,Flagged,10077,27TMX3456P3Z9
BuildMax Realty,Real Estate,Verified,10078,29BLDMX7890Q4Z1
AeroEdge Systems,Manufacturing,Pending,10079,33AREDG3456P3Z9
EduEdge Academy,Education,Verified,10080,27EDEDG7890Q4Z1
AgriMax Farms,Agriculture,Flagged,10081,32AGMAX2345R5Z2
CloudSphere IT,IT Services,Verified,10082,29CLSPH5678K2Z7
UrbanSphere Realty,Real Estate,Pending,10083,29URSPH3456P3Z9
MediMax Healthcare,Healthcare,Verified,10084,27MDMAX7890Q4Z1
FinEdge Bank,Finance,Flagged,10085,27FEDGE2345R5Z2
RetailMax Stores,Retail,Verified,10086,27RTMAX1234F1Z5
EduSphere Pvt Ltd,Education,Pending,10087
